Rank_2018,City,State,Est_Census_2018,Landarea_2016,Pop_Density_2016,Latitude,Longitude,Census_1880,Census_1890,Census_1900,Census_1910,Census_1920,Census_1930,Census_1940,Census_1950,Census_1960,Census_1970,Census_1980,Census_1990,Census_2000,Census_2010,Census_2017
105, Fontana,  California,213739,111.4,1883,34.1090,-117.4629,,,,,,,,,14659.0,20673.0,36804.0,87535.0,128929.0,196069.0,211815.0
106, Santa Clarita,  California,210089,136.8,1331,34.4030,-118.5042,,,,,,,,2895.0,15212.0,50086.0,66730.0,110642.0,151088.0,176320.0,210888.0
107, Birmingham,  Alabama,209880,378.4,561,33.5274,-86.7990,3086.0,26178.0,38415.0,132685.0,178806.0,259678.0,267583.0,326037.0,340887.0,300910.0,284413.0,265968.0,242840.0,212237.0,
108, Oxnard,  California,209877,69.7,2984,34.2023,-119.2046,,,,2555.0,4417.0,6285.0,8519.0,21567.0,40265.0,71225.0,108195.0,142216.0,170358.0,197899.0,210037.0
109, Fayetteville,  North Carolina,209468,382.5,535,35.0828,-78.9735,3485.0,4222.0,4670.0,7045.0,8877.0,13049.0,17428.0,34715.0,47106.0,53510.0,59507.0,112948.0,121015.0,200782.0,209889.0
110, Moreno Valley,  California,209050,132.9,1547,33.9233,-117.2057,,,,,,,,,,,,118779.0,142381.0,193365.0,207226.0
111, Rochester,  New York,206284,92.7,2253,43.1699,-77.6169,89366.0,133856.0,162608.0,218149.0,295750.0,328132.0,324975.0,332488.0,318611.0,296233.0,241741.0,231636.0,219773.0,210565.0,208046.0
112, Glendale,  California,201361,78.7,2551,34.1814,-118.2458,,,,2746.0,13536.0,62736.0,82582.0,95702.0,119442.0,132664.0,139060.0,180038.0,194973.0,191719.0,203054.0
113, Huntington Beach,  California,200641,69.7,2880,33.6906,-118.0093,,,,,,3690.0,3738.0,5237.0,11492.0,115960.0,170505.0,181519.0,189594.0,189992.0,201874.0
114, Salt Lake City,  Utah,200591,288.0,673,40.7769,-111.9310,20768.0,44843.0,53531.0,92777.0,116110.0,140267.0,149934.0,182121.0,189454.0,175885.0,163034.0,159936.0,181743.0,186440.0,200544.0
115, Grand Rapids,  Michigan,200217,115.0,1708,42.9612,-85.6556,32016.0,60278.0,87565.0,112571.0,137634.0,168592.0,164292.0,176515.0,177313.0,197649.0,181843.0,189126.0,197800.0,188040.0,
116, Amarillo,  Texas,199924,262.6,760,35.1999,-101.8302,,482.0,1442.0,9957.0,15494.0,43132.0,51686.0,74246.0,137969.0,127010.0,149230.0,157571.0,173627.0,190695.0,199826.0
117, Yonkers,  New York,199663,46.6,4307,40.9459,-73.8674,18892.0,32033.0,47931.0,79803.0,100176.0,134646.0,142598.0,152798.0,190634.0,204297.0,195351.0,188082.0,196086.0,195976.0,202019.0
118, Aurora,  Illinois,199602,116.3,1729,41.7635,-88.2901,11873.0,19688.0,24147.0,29800.0,36300.0,46589.0,47200.0,50600.0,63715.0,74200.0,81293.0,99581.0,142990.0,197899.0,200965.0
119, Montgomery,  Alabama,198218,413.9,483,32.3472,-86.2661,16713.0,21883.0,30346.0,38136.0,43464.0,66079.0,78084.0,106525.0,134393.0,133386.0,177857.0,187106.0,201568.0,205764.0,199518.0
120, Akron,  Ohio,198006,160.6,1231,41.0805,-81.5214,16512.0,27601.0,42728.0,69067.0,208435.0,255040.0,244791.0,274605.0,290351.0,275425.0,237177.0,223019.0,217074.0,199110.0,197846.0
121, Little Rock,  Arkansas,197881,307.4,646,34.7254,-92.3586,13138.0,25874.0,38307.0,45941.0,65142.0,81679.0,88039.0,102213.0,107813.0,132483.0,159151.0,175795.0,183133.0,193524.0,
122, Huntsville,  Alabama,197318,552.7,349,34.6990,-86.6730,4977.0,7995.0,8068.0,7611.0,8018.0,11554.0,13050.0,16437.0,72365.0,139282.0,142513.0,159789.0,158216.0,180105.0,194585.0
123, Augusta,  Georgia,196939,783.5,252,33.3655,-82.0734,21891.0,33300.0,39441.0,41040.0,52548.0,60342.0,65919.0,71508.0,70626.0,59864.0,47532.0,44639.0,195182.0,195844.0,197166.0
124, Port St. Lucie,  Florida,195248,307.9,601,27.2806,-80.3883,,,,,,,,,,330.0,14690.0,55866.0,88769.0,164603.0,189344.0
125, Grand Prairie,  Texas,194614,187.3,1018,32.6869,-97.0211,,,,994.0,1263.0,1529.0,1595.0,14594.0,30386.0,50904.0,71462.0,99616.0,127427.0,175396.0,193837.0
126, Columbus,  Georgia,194160,560.5,353,32.5102,-84.8749,10123.0,17303.0,17614.0,20554.0,31125.0,43131.0,53280.0,79611.0,116779.0,155028.0,169441.0,178681.0,186291.0,189885.0,194058.0
127, Tallahassee,  Florida,193551,260.0,734,30.4551,-84.2534,2494.0,2934.0,2981.0,5018.0,5637.0,10700.0,16240.0,27237.0,48174.0,72624.0,81548.0,124773.0,150624.0,181376.0,191049.0
128, Overland Park,  Kansas,192536,194.5,971,38.8890,-94.6906,,,,,,,,,21110.0,76623.0,81784.0,111790.0,149080.0,173372.0,191278.0
129, Tempe,  Arizona,192364,103.6,1761,33.3884,-111.9318,135.0,897.0,885.0,1473.0,1963.0,2495.0,2906.0,7684.0,24897.0,63550.0,106919.0,141865.0,158945.0,161719.0,
130, McKinney,  Texas,191645,163.2,1056,33.1985,-96.6680,1479.0,2489.0,4342.0,4714.0,6677.0,7307.0,8555.0,10560.0,13763.0,15193.0,16249.0,21283.0,54369.0,131117.0,181330.0
131, Mobile,  Alabama,189572,361.0,534,30.6684,-88.1002,29132.0,31076.0,38469.0,51521.0,60777.0,68202.0,78720.0,129009.0,202779.0,190026.0,200452.0,196278.0,198915.0,195111.0,190265.0
132, Cape Coral,  Florida,189343,273.5,658,26.6432,-81.9974,,,,,,,,,,10193.0,32103.0,74991.0,102286.0,154305.0,183365.0
133, Shreveport,  Louisiana,188987,277.4,700,32.4669,-93.7922,8009.0,11979.0,16013.0,28015.0,43874.0,76655.0,98167.0,127206.0,164372.0,182064.0,206989.0,198525.0,200145.0,199311.0,192036.0
134, Frisco,  Texas,188170,175.3,933,33.1554,-96.8226,,,,332.0,733.0,618.0,670.0,736.0,1184.0,1845.0,3420.0,6138.0,33714.0,116989.0,
135, Knoxville,  Tennessee,187500,255.1,730,35.9707,-83.9493,9693.0,22535.0,32637.0,36346.0,77818.0,105802.0,111580.0,124769.0,111827.0,174587.0,175045.0,165121.0,173890.0,178874.0,
